country_code,country_name,currency_code,euro_year
AT,Austria,ATS,2002
BE,Belgium,BEF,2002
BG,Bulgaria,BGN,
CY,Cyprus,CYP,2008
CZ,Czechia,CZK,
DE,Germany,DEM,2002
DK,Denmark,DKK,
EE,Estonia,EEK,2011
ES,Spain,ESP,2002
FI,Finland,FIM,2002
FR,France,FRF,2002
GB,United Kingdom,GBP,
GR,Greece,GRD,2002
HR,Croatia,HRK,
HU,Hungary,HUF,
IE,Ireland,IEP,2002
IT,Italy,ITL,2002
LT,Lithuania,LTL,2015
LU,Luxembourg,LUF,2002
LV,Latvia,LVL,2014
MT,Malta,MTL,2008
NL,Netherlands,NLG,2002
PL,Poland,PLN,
PT,Portugal,PTE,2002
RO,Romania,RON,
SE,Sweden,SEK,
SI,Slovenia,SIT,2007
SK,Slovakia,SKK,2009
